duration,power,roundtripEfficiency,secondaryConsumptionRatio,powerIslandSpecificCost_LB,powerIslandSpecificCost,powerIslandSpecificCost_UB,storeSpecificCost_LB,storeSpecificCost,storeSpecificCost_UB
h,MW,%,W/W,USD/kW,USD/kW,USD/kW,USD/kWh,USD/kWh,USD/kWh
4, 100, 74.6, 1.189, 945.25, 1050.28, 1155.3, 2.76, 9.99, 16.59
10, 100, 74.6, 1.189, 944.04, 1048.93, 1153.83, 2.68, 7.64, 16.54
24, 100, 74.6, 1.189, 943.57, 1048.41, 1153.25, 2.6, 6.63, 16.5
100, 100, 74.6, 1.189, 943.32, 1048.13, 1152.94, 2.47, 5.89, 16.44
8760, 100, 74.6, 1.189, 943.32, 1048.13, 1152.94, 2.47, 5.89, 16.44
4, 1000, 74.6, 1.189, 871.03, 967.81, 1064.59, 2.55, 6.28, 16.48
10, 1000, 74.6, 1.189, 869.82, 966.47, 1063.11, 2.47, 5.89, 16.44
24, 1000, 74.6, 1.189, 869.35, 965.94, 1062.54, 2.39, 5.64, 16.4
100, 1000, 74.6, 1.189, 869.09, 965.66, 1062.23, 2.26, 5.32, 16.33
8760, 1000, 74.6, 1.189, 869.09, 965.66, 1062.23, 2.26, 5.32, 16.33
