MTU (CET/CEST),Day-ahead Price [GBP/MWh],Currency,BZN|GB
01.01.2020 00:00 - 01.01.2020 01:00,39.94,GBP,
01.01.2020 01:00 - 01.01.2020 02:00,43.45,GBP,
01.01.2020 02:00 - 01.01.2020 03:00,41.12,GBP,
01.01.2020 03:00 - 01.01.2020 04:00,29.98,GBP,
01.01.2020 04:00 - 01.01.2020 05:00,27.1,GBP,
01.01.2020 05:00 - 01.01.2020 06:00,26.37,GBP,
01.01.2020 06:00 - 01.01.2020 07:00,26.32,GBP,
01.01.2020 07:00 - 01.01.2020 08:00,26.24,GBP,
01.01.2020 08:00 - 01.01.2020 09:00,26.92,GBP,
01.01.2020 09:00 - 01.01.2020 10:00,27.97,GBP,
01.01.2020 10:00 - 01.01.2020 11:00,32.6,GBP,
01.01.2020 11:00 - 01.01.2020 12:00,38,GBP,
01.01.2020 12:00 - 01.01.2020 13:00,44.53,GBP,
01.01.2020 13:00 - 01.01.2020 14:00,40,GBP,
01.01.2020 14:00 - 01.01.2020 15:00,40,GBP,
01.01.2020 15:00 - 01.01.2020 16:00,39.69,GBP,
01.01.2020 16:00 - 01.01.2020 17:00,37,GBP,
01.01.2020 17:00 - 01.01.2020 18:00,50.2,GBP,
01.01.2020 18:00 - 01.01.2020 19:00,53.3,GBP,
01.01.2020 19:00 - 01.01.2020 20:00,43,GBP,
01.01.2020 20:00 - 01.01.2020 21:00,41.14,GBP,
01.01.2020 21:00 - 01.01.2020 22:00,36,GBP,
01.01.2020 22:00 - 01.01.2020 23:00,35.92,GBP,
01.01.2020 23:00 - 02.01.2020 00:00,32,GBP,
02.01.2020 00:00 - 02.01.2020 01:00,30.71,GBP,
02.01.2020 01:00 - 02.01.2020 02:00,27.74,GBP,
02.01.2020 02:00 - 02.01.2020 03:00,26.46,GBP,
02.01.2020 03:00 - 02.01.2020 04:00,23.83,GBP,
02.01.2020 04:00 - 02.01.2020 05:00,23.46,GBP,
02.01.2020 05:00 - 02.01.2020 06:00,23.63,GBP,
02.01.2020 06:00 - 02.01.2020 07:00,28.08,GBP,
02.01.2020 07:00 - 02.01.2020 08:00,34.83,GBP,
02.01.2020 08:00 - 02.01.2020 09:00,36.9,GBP,
02.01.2020 09:00 - 02.01.2020 10:00,37.36,GBP,
02.01.2020 10:00 - 02.01.2020 11:00,37.72,GBP,
02.01.2020 11:00 - 02.01.2020 12:00,39.12,GBP,
02.01.2020 12:00 - 02.01.2020 13:00,39.17,GBP,
02.01.2020 13:00 - 02.01.2020 14:00,38.95,GBP,
02.01.2020 14:00 - 02.01.2020 15:00,38.22,GBP,
02.01.2020 15:00 - 02.01.2020 16:00,38.12,GBP,
02.01.2020 16:00 - 02.01.2020 17:00,38.49,GBP,
02.01.2020 17:00 - 02.01.2020 18:00,40.23,GBP,
02.01.2020 18:00 - 02.01.2020 19:00,45.9,GBP,
02.01.2020 19:00 - 02.01.2020 20:00,40,GBP,
02.01.2020 20:00 - 02.01.2020 21:00,37.91,GBP,
02.01.2020 21:00 - 02.01.2020 22:00,32,GBP,
02.01.2020 22:00 - 02.01.2020 23:00,28.65,GBP,
02.01.2020 23:00 - 03.01.2020 00:00,27.64,GBP,
03.01.2020 00:00 - 03.01.2020 01:00,26.55,GBP,
03.01.2020 01:00 - 03.01.2020 02:00,25.47,GBP,
03.01.2020 02:00 - 03.01.2020 03:00,24.05,GBP,
03.01.2020 03:00 - 03.01.2020 04:00,21.67,GBP,
03.01.2020 04:00 - 03.01.2020 05:00,19.58,GBP,
03.01.2020 05:00 - 03.01.2020 06:00,22.71,GBP,
03.01.2020 06:00 - 03.01.2020 07:00,27.09,GBP,
03.01.2020 07:00 - 03.01.2020 08:00,36.51,GBP,
03.01.2020 08:00 - 03.01.2020 09:00,35.43,GBP,
03.01.2020 09:00 - 03.01.2020 10:00,40,GBP,
03.01.2020 10:00 - 03.01.2020 11:00,43,GBP,
03.01.2020 11:00 - 03.01.2020 12:00,42.98,GBP,
03.01.2020 12:00 - 03.01.2020 13:00,39.25,GBP,
03.01.2020 13:00 - 03.01.2020 14:00,34.7,GBP,
03.01.2020 14:00 - 03.01.2020 15:00,34.13,GBP,
03.01.2020 15:00 - 03.01.2020 16:00,33.56,GBP,
03.01.2020 16:00 - 03.01.2020 17:00,34.01,GBP,
03.01.2020 17:00 - 03.01.2020 18:00,41.48,GBP,
03.01.2020 18:00 - 03.01.2020 19:00,47.11,GBP,
03.01.2020 19:00 - 03.01.2020 20:00,39.99,GBP,
03.01.2020 20:00 - 03.01.2020 21:00,38.88,GBP,
03.01.2020 21:00 - 03.01.2020 22:00,35.38,GBP,
03.01.2020 22:00 - 03.01.2020 23:00,33.98,GBP,
03.01.2020 23:00 - 04.01.2020 00:00,32.85,GBP,
04.01.2020 00:00 - 04.01.2020 01:00,28.99,GBP,
04.01.2020 01:00 - 04.01.2020 02:00,26.69,GBP,
04.01.2020 02:00 - 04.01.2020 03:00,25.1,GBP,
04.01.2020 03:00 - 04.01.2020 04:00,23.77,GBP,
04.01.2020 04:00 - 04.01.2020 05:00,21.86,GBP,
04.01.2020 05:00 - 04.01.2020 06:00,21.55,GBP,
04.01.2020 06:00 - 04.01.2020 07:00,22,GBP,
04.01.2020 07:00 - 04.01.2020 08:00,23.97,GBP,
04.01.2020 08:00 - 04.01.2020 09:00,26.51,GBP,
04.01.2020 09:00 - 04.01.2020 10:00,32,GBP,
04.01.2020 10:00 - 04.01.2020 11:00,34.57,GBP,
04.01.2020 11:00 - 04.01.2020 12:00,35.24,GBP,
04.01.2020 12:00 - 04.01.2020 13:00,36.62,GBP,
04.01.2020 13:00 - 04.01.2020 14:00,36.62,GBP,
04.01.2020 14:00 - 04.01.2020 15:00,38.43,GBP,
04.01.2020 15:00 - 04.01.2020 16:00,37.6,GBP,
04.01.2020 16:00 - 04.01.2020 17:00,32.43,GBP,
04.01.2020 17:00 - 04.01.2020 18:00,46.41,GBP,
04.01.2020 18:00 - 04.01.2020 19:00,59,GBP,
04.01.2020 19:00 - 04.01.2020 20:00,50.57,GBP,
04.01.2020 20:00 - 04.01.2020 21:00,40.62,GBP,
04.01.2020 21:00 - 04.01.2020 22:00,35.91,GBP,
04.01.2020 22:00 - 04.01.2020 23:00,34.94,GBP,
04.01.2020 23:00 - 05.01.2020 00:00,33.35,GBP,
05.01.2020 00:00 - 05.01.2020 01:00,39,GBP,
05.01.2020 01:00 - 05.01.2020 02:00,28.46,GBP,
05.01.2020 02:00 - 05.01.2020 03:00,27.38,GBP,
05.01.2020 03:00 - 05.01.2020 04:00,26.35,GBP,
05.01.2020 04:00 - 05.01.2020 05:00,26.23,GBP,
05.01.2020 05:00 - 05.01.2020 06:00,24.96,GBP,
05.01.2020 06:00 - 05.01.2020 07:00,25.38,GBP,
05.01.2020 07:00 - 05.01.2020 08:00,26.02,GBP,
05.01.2020 08:00 - 05.01.2020 09:00,28.09,GBP,
05.01.2020 09:00 - 05.01.2020 10:00,30,GBP,
05.01.2020 10:00 - 05.01.2020 11:00,32.95,GBP,
05.01.2020 11:00 - 05.01.2020 12:00,39,GBP,
05.01.2020 12:00 - 05.01.2020 13:00,33.64,GBP,
05.01.2020 13:00 - 05.01.2020 14:00,34,GBP,
05.01.2020 14:00 - 05.01.2020 15:00,38,GBP,
05.01.2020 15:00 - 05.01.2020 16:00,39,GBP,
05.01.2020 16:00 - 05.01.2020 17:00,35.79,GBP,
05.01.2020 17:00 - 05.01.2020 18:00,48,GBP,
05.01.2020 18:00 - 05.01.2020 19:00,58.13,GBP,
05.01.2020 19:00 - 05.01.2020 20:00,45.73,GBP,
05.01.2020 20:00 - 05.01.2020 21:00,40.48,GBP,
05.01.2020 21:00 - 05.01.2020 22:00,33.41,GBP,
05.01.2020 22:00 - 05.01.2020 23:00,35,GBP,
05.01.2020 23:00 - 06.01.2020 00:00,31.11,GBP,
06.01.2020 00:00 - 06.01.2020 01:00,24.36,GBP,
06.01.2020 01:00 - 06.01.2020 02:00,24.23,GBP,
06.01.2020 02:00 - 06.01.2020 03:00,24.29,GBP,
06.01.2020 03:00 - 06.01.2020 04:00,23.16,GBP,
06.01.2020 04:00 - 06.01.2020 05:00,22.52,GBP,
06.01.2020 05:00 - 06.01.2020 06:00,24.04,GBP,
06.01.2020 06:00 - 06.01.2020 07:00,27.52,GBP,
06.01.2020 07:00 - 06.01.2020 08:00,36.03,GBP,
06.01.2020 08:00 - 06.01.2020 09:00,37.2,GBP,
06.01.2020 09:00 - 06.01.2020 10:00,39.36,GBP,
06.01.2020 10:00 - 06.01.2020 11:00,38.52,GBP,
06.01.2020 11:00 - 06.01.2020 12:00,37.18,GBP,
06.01.2020 12:00 - 06.01.2020 13:00,36.16,GBP,
06.01.2020 13:00 - 06.01.2020 14:00,35.46,GBP,
06.01.2020 14:00 - 06.01.2020 15:00,36.19,GBP,
06.01.2020 15:00 - 06.01.2020 16:00,38,GBP,
06.01.2020 16:00 - 06.01.2020 17:00,38.24,GBP,
06.01.2020 17:00 - 06.01.2020 18:00,42.93,GBP,
06.01.2020 18:00 - 06.01.2020 19:00,51.28,GBP,
06.01.2020 19:00 - 06.01.2020 20:00,46.1,GBP,
06.01.2020 20:00 - 06.01.2020 21:00,43.28,GBP,
06.01.2020 21:00 - 06.01.2020 22:00,35.38,GBP,
06.01.2020 22:00 - 06.01.2020 23:00,35.59,GBP,
06.01.2020 23:00 - 07.01.2020 00:00,30,GBP,
07.01.2020 00:00 - 07.01.2020 01:00,27.98,GBP,
07.01.2020 01:00 - 07.01.2020 02:00,27.2,GBP,
07.01.2020 02:00 - 07.01.2020 03:00,26.14,GBP,
07.01.2020 03:00 - 07.01.2020 04:00,25.37,GBP,
07.01.2020 04:00 - 07.01.2020 05:00,25.85,GBP,
07.01.2020 05:00 - 07.01.2020 06:00,26.98,GBP,
07.01.2020 06:00 - 07.01.2020 07:00,34,GBP,
07.01.2020 07:00 - 07.01.2020 08:00,42.73,GBP,
07.01.2020 08:00 - 07.01.2020 09:00,42.5,GBP,
07.01.2020 09:00 - 07.01.2020 10:00,44.57,GBP,
07.01.2020 10:00 - 07.01.2020 11:00,43.44,GBP,
07.01.2020 11:00 - 07.01.2020 12:00,41.29,GBP,
07.01.2020 12:00 - 07.01.2020 13:00,40.29,GBP,
07.01.2020 13:00 - 07.01.2020 14:00,39.93,GBP,
07.01.2020 14:00 - 07.01.2020 15:00,39.3,GBP,
07.01.2020 15:00 - 07.01.2020 16:00,37.84,GBP,
07.01.2020 16:00 - 07.01.2020 17:00,40.02,GBP,
07.01.2020 17:00 - 07.01.2020 18:00,42.11,GBP,
07.01.2020 18:00 - 07.01.2020 19:00,42.24,GBP,
07.01.2020 19:00 - 07.01.2020 20:00,42.76,GBP,
07.01.2020 20:00 - 07.01.2020 21:00,41.8,GBP,
07.01.2020 21:00 - 07.01.2020 22:00,36.46,GBP,
07.01.2020 22:00 - 07.01.2020 23:00,32.98,GBP,
07.01.2020 23:00 - 08.01.2020 00:00,28.72,GBP,
08.01.2020 00:00 - 08.01.2020 01:00,23.9,GBP,
08.01.2020 01:00 - 08.01.2020 02:00,22.56,GBP,
08.01.2020 02:00 - 08.01.2020 03:00,20.35,GBP,
08.01.2020 03:00 - 08.01.2020 04:00,17.3,GBP,
08.01.2020 04:00 - 08.01.2020 05:00,16.88,GBP,
08.01.2020 05:00 - 08.01.2020 06:00,20.88,GBP,
08.01.2020 06:00 - 08.01.2020 07:00,27.42,GBP,
08.01.2020 07:00 - 08.01.2020 08:00,35.07,GBP,
08.01.2020 08:00 - 08.01.2020 09:00,36.91,GBP,
08.01.2020 09:00 - 08.01.2020 10:00,36.41,GBP,
08.01.2020 10:00 - 08.01.2020 11:00,38.02,GBP,
08.01.2020 11:00 - 08.01.2020 12:00,38.03,GBP,
08.01.2020 12:00 - 08.01.2020 13:00,38.67,GBP,
08.01.2020 13:00 - 08.01.2020 14:00,39.07,GBP,
08.01.2020 14:00 - 08.01.2020 15:00,40.02,GBP,
08.01.2020 15:00 - 08.01.2020 16:00,40.27,GBP,
08.01.2020 16:00 - 08.01.2020 17:00,41.63,GBP,
08.01.2020 17:00 - 08.01.2020 18:00,51.57,GBP,
08.01.2020 18:00 - 08.01.2020 19:00,58,GBP,
08.01.2020 19:00 - 08.01.2020 20:00,49.6,GBP,
08.01.2020 20:00 - 08.01.2020 21:00,44.2,GBP,
08.01.2020 21:00 - 08.01.2020 22:00,39.32,GBP,
08.01.2020 22:00 - 08.01.2020 23:00,36.29,GBP,
08.01.2020 23:00 - 09.01.2020 00:00,34.5,GBP,
09.01.2020 00:00 - 09.01.2020 01:00,37.79,GBP,
09.01.2020 01:00 - 09.01.2020 02:00,34.29,GBP,
09.01.2020 02:00 - 09.01.2020 03:00,28.47,GBP,
09.01.2020 03:00 - 09.01.2020 04:00,26.42,GBP,
09.01.2020 04:00 - 09.01.2020 05:00,23.86,GBP,
09.01.2020 05:00 - 09.01.2020 06:00,23.92,GBP,
09.01.2020 06:00 - 09.01.2020 07:00,29,GBP,
09.01.2020 07:00 - 09.01.2020 08:00,38.25,GBP,
09.01.2020 08:00 - 09.01.2020 09:00,39.37,GBP,
09.01.2020 09:00 - 09.01.2020 10:00,39.67,GBP,
09.01.2020 10:00 - 09.01.2020 11:00,37.98,GBP,
09.01.2020 11:00 - 09.01.2020 12:00,34.98,GBP,
09.01.2020 12:00 - 09.01.2020 13:00,32.71,GBP,
09.01.2020 13:00 - 09.01.2020 14:00,35,GBP,
09.01.2020 14:00 - 09.01.2020 15:00,36.58,GBP,
09.01.2020 15:00 - 09.01.2020 16:00,38.91,GBP,
09.01.2020 16:00 - 09.01.2020 17:00,37,GBP,
09.01.2020 17:00 - 09.01.2020 18:00,50.09,GBP,
09.01.2020 18:00 - 09.01.2020 19:00,59.5,GBP,
09.01.2020 19:00 - 09.01.2020 20:00,48,GBP,
09.01.2020 20:00 - 09.01.2020 21:00,43.03,GBP,
09.01.2020 21:00 - 09.01.2020 22:00,37.54,GBP,
09.01.2020 22:00 - 09.01.2020 23:00,37.5,GBP,
09.01.2020 23:00 - 10.01.2020 00:00,34.5,GBP,
10.01.2020 00:00 - 10.01.2020 01:00,36.58,GBP,
10.01.2020 01:00 - 10.01.2020 02:00,35.75,GBP,
10.01.2020 02:00 - 10.01.2020 03:00,34.77,GBP,
10.01.2020 03:00 - 10.01.2020 04:00,27.97,GBP,
10.01.2020 04:00 - 10.01.2020 05:00,24.38,GBP,
10.01.2020 05:00 - 10.01.2020 06:00,24.58,GBP,
10.01.2020 06:00 - 10.01.2020 07:00,27.9,GBP,
10.01.2020 07:00 - 10.01.2020 08:00,38.06,GBP,
10.01.2020 08:00 - 10.01.2020 09:00,41.44,GBP,
10.01.2020 09:00 - 10.01.2020 10:00,47.09,GBP,
10.01.2020 10:00 - 10.01.2020 11:00,47.7,GBP,
10.01.2020 11:00 - 10.01.2020 12:00,44.2,GBP,
10.01.2020 12:00 - 10.01.2020 13:00,38.1,GBP,
10.01.2020 13:00 - 10.01.2020 14:00,34.7,GBP,
10.01.2020 14:00 - 10.01.2020 15:00,32.72,GBP,
10.01.2020 15:00 - 10.01.2020 16:00,32.94,GBP,
10.01.2020 16:00 - 10.01.2020 17:00,35.41,GBP,
10.01.2020 17:00 - 10.01.2020 18:00,41.23,GBP,
10.01.2020 18:00 - 10.01.2020 19:00,43.81,GBP,
10.01.2020 19:00 - 10.01.2020 20:00,39.54,GBP,
10.01.2020 20:00 - 10.01.2020 21:00,39.41,GBP,
10.01.2020 21:00 - 10.01.2020 22:00,36.19,GBP,
10.01.2020 22:00 - 10.01.2020 23:00,34.78,GBP,
10.01.2020 23:00 - 11.01.2020 00:00,27.55,GBP,
11.01.2020 00:00 - 11.01.2020 01:00,29.97,GBP,
11.01.2020 01:00 - 11.01.2020 02:00,28.2,GBP,
11.01.2020 02:00 - 11.01.2020 03:00,25.99,GBP,
11.01.2020 03:00 - 11.01.2020 04:00,24,GBP,
11.01.2020 04:00 - 11.01.2020 05:00,20.5,GBP,
11.01.2020 05:00 - 11.01.2020 06:00,14.99,GBP,
11.01.2020 06:00 - 11.01.2020 07:00,17.44,GBP,
11.01.2020 07:00 - 11.01.2020 08:00,24.95,GBP,
11.01.2020 08:00 - 11.01.2020 09:00,29.51,GBP,
11.01.2020 09:00 - 11.01.2020 10:00,33.18,GBP,
11.01.2020 10:00 - 11.01.2020 11:00,33.1,GBP,
11.01.2020 11:00 - 11.01.2020 12:00,33.04,GBP,
11.01.2020 12:00 - 11.01.2020 13:00,33.55,GBP,
11.01.2020 13:00 - 11.01.2020 14:00,32.39,GBP,
11.01.2020 14:00 - 11.01.2020 15:00,35.9,GBP,
11.01.2020 15:00 - 11.01.2020 16:00,34.72,GBP,
11.01.2020 16:00 - 11.01.2020 17:00,29.3,GBP,
11.01.2020 17:00 - 11.01.2020 18:00,38.6,GBP,
11.01.2020 18:00 - 11.01.2020 19:00,59.5,GBP,
11.01.2020 19:00 - 11.01.2020 20:00,51.5,GBP,
11.01.2020 20:00 - 11.01.2020 21:00,44.4,GBP,
11.01.2020 21:00 - 11.01.2020 22:00,40,GBP,
11.01.2020 22:00 - 11.01.2020 23:00,37.92,GBP,
11.01.2020 23:00 - 12.01.2020 00:00,34.01,GBP,
12.01.2020 00:00 - 12.01.2020 01:00,33.65,GBP,
12.01.2020 01:00 - 12.01.2020 02:00,34.98,GBP,
12.01.2020 02:00 - 12.01.2020 03:00,32.9,GBP,
12.01.2020 03:00 - 12.01.2020 04:00,29.2,GBP,
12.01.2020 04:00 - 12.01.2020 05:00,24.14,GBP,
12.01.2020 05:00 - 12.01.2020 06:00,20.64,GBP,
12.01.2020 06:00 - 12.01.2020 07:00,21.79,GBP,
12.01.2020 07:00 - 12.01.2020 08:00,27.6,GBP,
12.01.2020 08:00 - 12.01.2020 09:00,25.03,GBP,
12.01.2020 09:00 - 12.01.2020 10:00,31.44,GBP,
12.01.2020 10:00 - 12.01.2020 11:00,38,GBP,
12.01.2020 11:00 - 12.01.2020 12:00,40.2,GBP,
12.01.2020 12:00 - 12.01.2020 13:00,40.7,GBP,
12.01.2020 13:00 - 12.01.2020 14:00,40,GBP,
12.01.2020 14:00 - 12.01.2020 15:00,37.98,GBP,
12.01.2020 15:00 - 12.01.2020 16:00,35.1,GBP,
12.01.2020 16:00 - 12.01.2020 17:00,31.03,GBP,
12.01.2020 17:00 - 12.01.2020 18:00,45,GBP,
12.01.2020 18:00 - 12.01.2020 19:00,65,GBP,
12.01.2020 19:00 - 12.01.2020 20:00,51.4,GBP,
12.01.2020 20:00 - 12.01.2020 21:00,41,GBP,
12.01.2020 21:00 - 12.01.2020 22:00,39.6,GBP,
12.01.2020 22:00 - 12.01.2020 23:00,41,GBP,
12.01.2020 23:00 - 13.01.2020 00:00,32.99,GBP,
13.01.2020 00:00 - 13.01.2020 01:00,26.27,GBP,
13.01.2020 01:00 - 13.01.2020 02:00,23.45,GBP,
13.01.2020 02:00 - 13.01.2020 03:00,22.29,GBP,
13.01.2020 03:00 - 13.01.2020 04:00,21.75,GBP,
13.01.2020 04:00 - 13.01.2020 05:00,20.84,GBP,
13.01.2020 05:00 - 13.01.2020 06:00,23,GBP,
13.01.2020 06:00 - 13.01.2020 07:00,31.39,GBP,
13.01.2020 07:00 - 13.01.2020 08:00,41,GBP,
13.01.2020 08:00 - 13.01.2020 09:00,43.9,GBP,
13.01.2020 09:00 - 13.01.2020 10:00,41.38,GBP,
13.01.2020 10:00 - 13.01.2020 11:00,40.55,GBP,
13.01.2020 11:00 - 13.01.2020 12:00,39.15,GBP,
13.01.2020 12:00 - 13.01.2020 13:00,40.85,GBP,
13.01.2020 13:00 - 13.01.2020 14:00,39.94,GBP,
13.01.2020 14:00 - 13.01.2020 15:00,39.11,GBP,
13.01.2020 15:00 - 13.01.2020 16:00,37.35,GBP,
13.01.2020 16:00 - 13.01.2020 17:00,37.96,GBP,
13.01.2020 17:00 - 13.01.2020 18:00,41.46,GBP,
13.01.2020 18:00 - 13.01.2020 19:00,49.67,GBP,
13.01.2020 19:00 - 13.01.2020 20:00,40.67,GBP,
13.01.2020 20:00 - 13.01.2020 21:00,40.9,GBP,
13.01.2020 21:00 - 13.01.2020 22:00,36,GBP,
13.01.2020 22:00 - 13.01.2020 23:00,26.75,GBP,
13.01.2020 23:00 - 14.01.2020 00:00,23.25,GBP,
14.01.2020 00:00 - 14.01.2020 01:00,20.41,GBP,
14.01.2020 01:00 - 14.01.2020 02:00,16.35,GBP,
14.01.2020 02:00 - 14.01.2020 03:00,12.85,GBP,
14.01.2020 03:00 - 14.01.2020 04:00,7.86,GBP,
14.01.2020 04:00 - 14.01.2020 05:00,7.25,GBP,
14.01.2020 05:00 - 14.01.2020 06:00,14.48,GBP,
14.01.2020 06:00 - 14.01.2020 07:00,23.8,GBP,
14.01.2020 07:00 - 14.01.2020 08:00,30.75,GBP,
14.01.2020 08:00 - 14.01.2020 09:00,34.24,GBP,
14.01.2020 09:00 - 14.01.2020 10:00,34.95,GBP,
14.01.2020 10:00 - 14.01.2020 11:00,35.2,GBP,
